id,ATS id,Segment id
1,1,1
2,2,2
3,2,3
4,3,4
5,3,5
6,3,6
7,3,7
8,3,8
9,4,9
10,4,10
11,4,11
12,5,12
13,5,13
14,5,14
15,5,15
16,5,16
17,6,17
18,7,18
19,7,19
20,7,20
21,7,21
22,7,22
23,7,23
24,7,24
25,7,25
26,7,26
27,7,27
28,7,28
29,7,29
30,8,30
31,8,31
32,8,32
33,9,33
34,9,34
35,10,35
36,10,36
37,10,37
38,11,38
39,11,39
40,11,40
41,11,41
42,11,42
43,11,43
44,11,44
45,11,45
46,12,46
47,12,47
48,12,48
49,12,49
50,12,50
51,13,51
52,14,52
53,15,53
54,15,54
55,15,55
56,16,56
57,16,57
58,16,58
59,16,59
60,16,60
61,17,61
62,18,62
63,19,63
