segmant id,start,end,Track MAG down,Track MAG up,Dist NM,Upper limit,Lower limit,MNM FT ALT,Lateral limits NM,FL down,FL up,Remarks
1,1,2,196°,16°,45.3NM,FL 460,5500 FT ALT,6000 FT,10,Odd,Even,"[Class A –ABV FL150
Class B –BLW FL150]"
2,3,4,296°,116°,25.0NM,FL 460,4500 FT ALT,5000 FT,20,Even,,"[Class A –ABV FL150
Class B –BLW FL150]"
3,4,5,296°,116°,27.1NM,FL 460,4500 FT ALT,5000 FT,20,Even,,"[Class A –ABV FL150
Class B –BLW FL150]"
4,6,7,117°,297°,"14.9NM	",FL 460,3500 FT ALT,5500 FT,10,Odd,,"[Class A –ABV FL150
Class B –BLW FL150]"
5,7,8,118°,298°,5.0NM,FL 460,3000 FT ALT,5500 FT,10,Odd,,"[Class A –ABV FL150
Class B –BLW FL150]"
6,8,9,117°,297°,14.6NM,FL 460,3000 FT ALT,5500 FT,10,Odd,,"[Class A –ABV FL150
Class B –BLW FL150]"
7,9,10,118°,298°,15.3NM,FL 460,3000 FT ALT,5500 FT,10,Odd,,"[Class A –ABV FL150
Class B –BLW FL150]"
8,10,11,114°,294°,"44.0NM	",FL 460,3000 FT ALT,5500 FT,10,Odd,,"[Class A –ABV FL150
Class B –BLW FL150]"
9,12,13,112°,292°,16.1NM,FL 460,6500 FT ALT,7000 FT,,Odd,Even,"[Class A –ABV FL150
Class B –BLW FL150]"
10,13,14,113°,293°,18.6NM,FL 460,6500 FT ALT,7000 FT,,Odd,,"[Class A –ABV FL150
Class B –BLW FL150]"
11,14,15,113°,293°,15.4NM,FL 460,6500 FT ALT,7000 FT,,Odd,,"[Class A –ABV FL150
Class B –BLW FL150]"
12,16,17,171°,351°,38.1NM,FL 460,3500 FT ALT,4000 FT,,Odd,Even,"[Class A –ABV FL150
Class B –BLW FL150]"
13,17,18,171°,351°,"20.7NM	",FL 460,3500 FT ALT,4000 FT,,Odd,Even,"[Class A –ABV FL150
Class B –BLW FL150]"
14,18,19,153°,333°,39.8NM,FL 460,3500 FT ALT,4000 FT,,Odd,Even,"[Class A –ABV FL150
Class B –BLW FL150]"
15,19,20,153°,333°,56.1NM,FL 460,3500 FT ALT,4000 FT,,Odd,Even,"[Class A –ABV FL150
Class B –BLW FL150]"
16,20,21,152°,332°,17.4NM,FL 460,3500 FT ALT,4000 FT,,Odd,Even,"[Class A –ABV FL150
Class B –BLW FL150]"
17,22,23,308°,128°,34.3NM,FL 460,4500 FT ALT,5000 FT,20,Even,,"[Class A –ABV FL150
Class B –BLW FL150]"
18,24,25,335°,155°,14.9NM,FL 460,7500 FT ALT,8000 FT,10,Odd,Even,"[Class A –ABV FL150
Class B –BLW FL150]"
19,25,26,335°,155°,"17.1NM	",FL 460,7500 FT ALT,8000 FT,10,Odd,Even,"[Class A –ABV FL150
Class B –BLW FL150]"
20,26,27,335°,155°,11.0NM,FL 460,7500 FT ALT,8000 FT,10,Odd,Even,"[Class A –ABV FL150
Class B –BLW FL150]"
21,27,28,335°,155°,22.2NM,FL 460,7500 FT ALT,8000 FT,10,Odd,Even,"[Class A –ABV FL150
Class B –BLW FL150]"
