starte end id,"Route Designator
{RNP Type}",Significant point name ,Latitude,Longitude
1,L504,OBDOS,0.418,106.931
2,L504,"BAVUS
(WSJC/WIIZ FIR BDRY)",0,109
3,L517,TERIX,4.256,109.582
4,L517,"GULIB
(WSJC/WBFC FIR BDRY)",4.287,111.109
5,L625,AKMON,8.215,110.218
6,L625,LUSMO,3.561,106.926
7,L625,VERIN,2.559,106.407
8,L625,TOMAN,1.363,105.788
9,L629,DOLOX,4.811,105.38
10,L629,NOPAT,4.387,104.799
11,L629,VEPLI,3.873,104.095
12,L629,"BUVAL
(WSJC/WMFC FIR BDRY)",3.606,103.728
13,L629,PEKAN DVOR/DME (VPK),3.383,103.423
14,L635,MABLI,4.288,106.213
15,L635,SUSAR,3.98,105.263
16,L635,DUBSA,3.817,104.761
17,L635,UGPEK,3.613,104.131
18,L635,"DOVOL
(WSJC/WMFC FIR BDRY)",3.513,103.823
19,L635,PEKAN DVOR/DME (VPK),3.383,103.423
20,L642,"ESPOB
(VVTS/WSJC FIR BDRY)",7,105.555
21,L642,ENREP,4.873,104.245
22,L642,VEPLI,3.873,104.095
23,L642,"EGOLO
(WSJC/WMFC FIR BDRY)",3.326,104.013
24,L642,ROBMO,2.911,103.95
25,L642,"MERSING DVOR/DME (VMR)	",2.388,103.872
26,L644,"DUDIS
(WSJC/VVTS FIR BDRY)",7,106.81
27,L644,MABLI,4.288,106.213
28,L644,OPULA,3.532,106.355
29,L644,ONAPO,3.354,106.388
30,L644,OMLIV,2.92,106.47
31,L644,OMBAP,2.521,106.545
32,L644,OLSAM,2.016,106.64
33,L644,OBLOT,1.716,106.969
34,L644,OBGET,1.385,106.759
35,L644,"KIKOR
(WSJC/WIIZ FIR BDRY)",-0.379,107.09
36,L649,"LAXOR
(WSJC/RPHI FIR BDRY)",9.827,114.808
37,L649,"URKET
(WSJC/WBFC FIR BDRY)",8.192,114.833
38,L649,"	DAKIX
(WBFC/WSJC FIR BDRY)",7.148,114.848
39,L762,ASUNA,0.997,103.165
40,L762,"MIBEL
(WIIZ/WSJC FIR BDRY)",1.397,102.138
41,M522,"VINIK
(WSJC/RPHI FIR BDRY)",8.642,116.23
42,M522,"NODIN
(WSJC/WBFC FIR BDRY)",8.183,116.195
43,M630,SUKRI,1.385,102.984
44,M630,BOBAG,1.042,103.498
45,M630,TANJUNG PINANG VOR/DME,0.904,104.514
46,M635,TEKONG DVOR/DME (VTK),1.415,104.022
47,M635,TANJUNG PINANG VOR/DME (TPG),0.904,104.514
48,M635,ATPOM,0.407,105.354
49,M635,"SURGA
(WSJC/WIIZ FIR BDRY)",-0.616,106.522
50,M646,"KAMIN
(WBFC/WSJC FIR BDRY)",2.578,108.927
51,M646,SABIP,2.161,107.846
52,M646,ESPIT,2.003,107.44
53,M646,OBLOT,1.716,106.696
54,M646,TOMAN,1.363,105.788
55,M753,"IPRIX
(VVTS/WSJC FIR BDRY)",7,104.132
56,M753,ENREP,4.873,104.245
57,M754,"VINIK
(WSJC/RPHI FIR BDRY)",8.642,116.23
58,M754,"SUMLA
(WSJC/WMFC FIR BDRY)",8.045,116.015
59,M758,PEKAN DVOR/DME (VPK),3.383,103.423
60,M758,"IDSEL
(WMFC/WSJC FIR BDRY)",3.409,103.929
61,M758,URIGO,3.418,104.113
62,M758,VISAT,3.439,104.526
