id,Route Designator,Significant point name ,Latitude,Longitude
1,A224,JOHOR BAHRU DVOR/DME (VJB),1.664,103.661
2,A224,"MERSING DVOR/DME (VMR)
(58 DME PU)",2.388,103.872
3,A457,JOHOR BAHRU DVOR/DME (VJB),1.664,103.661
4,A457,SABKA,1.848,103.287
5,A457,MASBO,2.047,102.881
6,A464,"ARAMA
(50 DME SJ)
(Delegated airspace BDRY)",1.615,103.12
7,A464,"	35DME",1.498,103.34
8,A464,LELIB,1.458,103.414
9,A464,MASNI (FIR BDRY),1.344,103.629
10,A464,SINJON DVOR/DME (SJ),1.222,103.856
11,A464,TANJUNG PINANG VOR/DME (TPG),0.904,104.514
12,A576,"REKOP (50 DME SJ)
(delegated airspace BDRY)",1.552,103.089
13,A576,PIMOK,1.447,103.336
14,A576,BONSU (FIR BDRY),1.324,103.619
15,A576,SINJON DVOR/DME (SJ),1.222,103.856
16,B338,MERSING DVOR/DME (VMR,2.388,103.872
17,B338,20DME (20 DME PU),1.758,103.97
18,B338,TEKONG DVOR/DME (VTK),1.415,104.022
19,B338,IDMAS (40 DME VTK),0.817,104.313
20,B338,FIRJ4 (WSJC/WIIZ FIR BDRY),-0.023,104.735
21,B338,ANITO,-0.283,104.867
22,B466,JOHOR BAHRU DVOR/DME (VJB),1.664,103.661
23,B466,MESOG,2.018,103.211
24,B469,PEKAN DVOR/DME (VPK),3.383,103.423
25,B469,PADLI,3.155,103.526
26,B469,90DME (90 DME PU),2.895,103.643
27,B469,BIKTA,2.727,103.719
28,B469,MERSING DVOR/DME (VMR) (58 DME PU),2.388,103.872
29,B469,30DME (30 DME PU),1.922,103.901
30,B469,AKOMA (20 DME PU),1.756,103.912
31,B469,10DME (10 DME PU),1.59,103.923
32,B469,PAPA UNIFORM DVOR/DME (PU),1.423,103.933
33,B469,"	SINJON DVOR/DME (SJ)",1.222,103.856
34,B469,BAVAL (30 DME SJ),0.755,104.045
35,B469,FIRJ1 (WSJC/WIIZ FIR BDRY),-0.208,104.407
36,B469,SINGKEP NDB (NE),-0.483,104.576
37,B470,SINJON DVOR/DME (SJ),1.222,103.856
38,B470,UDONI (30 DME SJ),0.805,104.135
39,B470,FIRJ2 (WSJC/WIIZ FIR BDRY),-0.04,104.701
40,B470,ANITO,-0.283,104.867
