Id,Name code designator,Latitude,Longitude,ATS route or other route,Terminal Area
1,ABVIP,1.002,103.842,,SID-WSSS
2,ABVON,1.341,103.974,,IAC-WSSS
3,ADMIM,0.959,103.509,,SID-WSSS
4,ADNIK,1.281,103.949,,IAC-WSSS
5,AGOBA,1.978,108.5,M761,
6,AGROT,1.019,103.969,,SID-WSSS
7,AGVAR,1.789,103.696,,SID-WSSS
8,AKIPO,1.232,103.928,,IAC-WSSS
9,AKMET,1.899,103.728,,SID-WSSS
10,AKMON,8.215,110.218,"L625, M768",
11,AKOMA,1.756,103.912,"B469, Y339","SID-WSSS, IAC-WSSS"
12,ANBUS,1.266,103.351,P501,
13,ANITO,0.283,104.867,"B338, B470, P501",SID-WSSS
14,ANUMA,1.181,103.907,,IAC-WSSS
15,APIPA,1.105,103.875,,IAC-WSSS
16,ARAMA,1.615,103.12,"A464, P501",STAR-WSSS
17,AROSO,2.146,103.406,"Y339, Y342",SID-WSSS
18,ARUPA,0.528,108.813,N875,
19,ASISU,5.985,113.346,"M768, M772",
20,ASUNA,0.997,103.165,"R469, L762",STAR-WSSS
21,ATETI,1.428,108.5,G580,
22,ATKAX,0.087,106.996,,SID-WSSS
23,ATPOM,0.407,105.354,M635,
24,ATRUM,1.549,104.016,,SID-WSSS
25,BAVAL,0.755,104.045,B469,
26,BAVUS,0,109,L504,
27,BETBA,1.551,103.892,,STAR-WSSS
28,BIBVI,2.727,104.105,,STAR-WSSS
29,BIDAG,7.517,113.929,M772,
30,BIDUS,1.598,103.965,,"IAC-WSSS, STAR-WSSS"
31,BIKTA,2.727,103.719,B469,
32,BIPOP,1.523,104.172,,"IAC-WSSS, STAR-WSSS"
33,BOBAG,1.042,103.498,"R469, M630, N502, P501","HLDG ID, SID-WSSS, STAR-WSSS"
34,BOBOB,2.368,107.099,"M761, M767, N875",
35,BOKIP,1.073,103.731,,"SID-WSSS, STAR-WSSS"
36,BONSU,1.324,103.619,A576,
37,BUNTO,2.669,105.998,G334,
38,BUVAL,3.606,103.728,"L629, Y333",
39,DAKIX,7.148,114.848,L649,
40,DAMOG,4.207,105.004,"M771, N875",
41,DIVSA,1.185,104.051,,SID-WSSS
42,DOGRA,1.09,104.24,,SID-WSSS
43,DOKTA,1.435,104.178,,SID-WSSS
44,DOLOX,4.811,105.38,"L629, M771, T612",
45,DONDI,1.214,103.982,,SID-WSSS
46,DOSNO,0.799,104.236,,SID-WSSS
47,DOSPA,1.25,104.078,,SID-WSSS
48,DOVAN,1.327,104.214,,STAR-WSSS
49,DOVOL,3.513,103.823,"L635, Y334",
50,DUBSA,3.817,104.761,"L635, M771",
51,DUDIS,7,106.81,"L644, M771",
52,EGOLO,3.326,104.013,L642,
53,EGORA,1.606,104.102,,IAC-WSSS
54,ELALO,4.211,104.558,"Q802, Q803","HLDG ID, STAR-WSSS"
