Id,Name Ident (Coordinates),Latitude,Longitude,"Type and Intensity (1,000 Candelas)",Characteristics,Operating Hours,Remarks
1,BEDOK LIGHTHOUSE,1.309,103.932,Marine 369,FLG W EV 5 SEC,HN,
2,HORSBURGH LIGHTHOUSE,1.33,104.406,Marine 266,FLG W EV 10 SEC,HN,
3,PAYA LEBAR,1.35,103.898,IBN †,FLG R ‘PL’  EV 12 SEC,HN + IMC,†  3KW
4,PULAU PISANG LIGHTHOUSE,1.469,103.256,Marine291,FLG W EV 10 SEC,HN,-
5,RAFFLES LIGHTHOUSE,1.16,103.74,Marine 240,GP FLG (3) W EV 20 SEC,HN,-
6,SAKIJANG BEACON,1.222,103.854,Marine 15.95,FLG W EV 2.5 SEC,HN,-
7,SELETAR,1.419,103.864,IBN,FLG G ‘SL’ EV 7 SEC,HN + IMC,-
8,SELETAR,1.413,103.869,ABN,ALTN FLG W G EV 2.5 SEC,HN + IMC,-
9,SEMBAWANG,1.417,103.815,IBN2.1 #,FLG R ‘AG’ EV 20 SEC,HN + IMC,# 0.7KW
10,SINGAPORE CHANGI ,1.384,103.999,IBN,FLG G ‘SS’ EV  7 SEC,HN + IMC,-
11,SINGAPORE CHANGI,1.369,103.983,ABNW 10.8 G 2.2,ALTN FLG W G EV 4 SEC,HN + IMC,-
12,SULTAN SHOAL LIGHTHOUSE,1.24,103.648,Marine260,GP FLG (2) W EV 15 SEC,HN,-
13,TENGAH 012400N 1034254E,1.4,103.715,IBN,FLG R ‘TN’,HN,-
