id,Lateral Limit id,Lattiude Lateral Limit,Longtitude Lateral Limit
1,1,1.36,103.796
2,2,1.271,103.819
3,2,1.255,103.816
4,3,1.479,103.726
5,4,1.399,103.774
6,4,1.4,103.793
7,4,1.358,103.783
8,5,1.28,103.836
9,6,1.36,103.682
10,7,1.322,103.846
11,8,1.302,103.842
12,9,3.483,103.048
13,9,2.666,102.582
14,9,2.383,102.998
15,9,2.383,103.765
16,9,3.35,103.348
17,9,3.316,103.265
18,9,3.433,103.215
19,9,3.483,103.048
20,10,2.25,103.565
21,11,2.042,103.307
22,11,2,102.978
23,11,2.308,103.498
24,11,2.042,103.307
25,11,2.033,103.207
26,11,2.125,103.365
27,11,2,102.978
28,11,2.033,103.207
29,11,2.308,103.498
30,11,2.125,103.373
31,12,2.042,103.307
32,12,2,102.978
33,12,1.775,103.098
34,12,2.042,103.307
35,12,2.033,103.207
36,12,1.947,103.286
37,13,1.625,103.831
38,14,1.208,103.732
39,14,1.208,103.79
40,15,1.431,103.673
41,15,1.393,103.651
42,15,1.384,103.653
43,15,1.349,103.633
44,15,1.326,103.669
45,15,1.362,103.684
46,15,1.379,103.684
47,15,1.411,103.69
48,16,25.83,103.673
49,16,23.55,103.651
50,16,23.05,103.653
51,16,22.67,103.671
52,16,22.75,103.684
53,16,24.67,103.69
54,17,1.384,103.653
55,17,1.378,103.671
56,17,1.379,103.684
57,17,1.362,103.684
58,17,1.326,103.669
59,17,1.349,103.633
60,18,2,104.6
61,18,2.5,104.917
62,19,3,104.6
63,19,2,104.917
64,20,3,104.917
65,20,2,105.5
66,21,2.5,104.6
67,21,3,104.917
68,22,1.403,104.036
69,22,1.405,104.059
70,22,1.397,104.044
71,22,1.398,104.033
72,23,1.386,103.803
73,24,2,104.917
74,24,2.5,105.208
75,25,2,105.208
76,25,2.5,105.5
77,26,1.5,104.333
78,26,2,104.583
79,27,2,104.283
80,27,2.5,104.6
81,28,2.5,104.6
82,28,3,104.283
83,29,1.417,102.998
84,29,1.5,102.998
85,29,1.45,103.165
86,29,1.367,103.165
87,30,2.317,104.223
88,30,2,104.223
89,30,2,104.283
90,30,2.317,104.283
91,30,2.317,104.223
92,31,1.622,103.89
93,31,1.644,103.86
94,31,1.618,103.832
95,31,1.592,103.861
96,32,1.638,103.831
97,32,1.658,103.841
98,32,1.711,103.825
99,32,1.711,103.806
100,32,1.693,103.774
101,32,1.644,103.774
102,32,1.649,103.811
