id,Name,Lateral Limit Latitude,Lateral Limit Longitude, Remark,Upper Limit / Lower Limit,Remarks Time of Act
1,LIGHT AIRCRAFT TRAINING AREA A,1.447,103.772,Woodlands Customs Checkpoint,"4 500ft ALT / GND 
3 500ft ALT / 2 000ft ALT#
Maximum
Usable ALT:
4 000ft","# Above Transit Channel
(see chart ENR 3.5-3)

@ Closest Visual Reference Point
(see chart ENR 5.1-9)

Daylight hour and in VMC only"
2,LIGHT AIRCRAFT TRAINING AREA A,1.38,103.761,cross-road junction of Upper Bukit Timah Road and Bukit Panjang Road/Choa Chu Kang Road,"4 500ft ALT / GND 
3 500ft ALT / 2 000ft ALT#
Maximum
Usable ALT:
4 000ft","# Above Transit Channel
(see chart ENR 3.5-3)

@ Closest Visual Reference Point
(see chart ENR 5.1-9)

Daylight hour and in VMC only"
3,LIGHT AIRCRAFT TRAINING AREA A,1.35,103.782,Bukit Timah,"4 500ft ALT / GND 
3 500ft ALT / 2 000ft ALT#
Maximum
Usable ALT:
4 000ft","# Above Transit Channel
(see chart ENR 3.5-3)

@ Closest Visual Reference Point
(see chart ENR 5.1-9)

Daylight hour and in VMC only"
4,LIGHT AIRCRAFT TRAINING AREA A,1.376,103.838,Mayflower Garden,"4 500ft ALT / GND 
3 500ft ALT / 2 000ft ALT#
Maximum
Usable ALT:
4 000ft","# Above Transit Channel
(see chart ENR 3.5-3)

@ Closest Visual Reference Point
(see chart ENR 5.1-9)

Daylight hour and in VMC only"
5,LIGHT AIRCRAFT TRAINING AREA A,1.391,103.823,Sembawang ATZ bdry and along the bdry of Sembawang ATZ,"4 500ft ALT / GND 
3 500ft ALT / 2 000ft ALT#
Maximum
Usable ALT:
4 000ft","# Above Transit Channel
(see chart ENR 3.5-3)

@ Closest Visual Reference Point
(see chart ENR 5.1-9)

Daylight hour and in VMC only"
6,LIGHT AIRCRAFT TRAINING AREA A,1.454,103.798,Admiralty Road West/Attap Valley Road,"4 500ft ALT / GND 
3 500ft ALT / 2 000ft ALT#
Maximum
Usable ALT:
4 000ft","# Above Transit Channel
(see chart ENR 3.5-3)

@ Closest Visual Reference Point
(see chart ENR 5.1-9)

Daylight hour and in VMC only"
7,LIGHT AIRCRAFT TRAINING AREA A,1.447,103.772,Woodlands Customs Checkpoint,"4 500ft ALT / GND 
3 500ft ALT / 2 000ft ALT#
Maximum
Usable ALT:
4 000ft","# Above Transit Channel
(see chart ENR 3.5-3)

@ Closest Visual Reference Point
(see chart ENR 5.1-9)

Daylight hour and in VMC only"
8,LIGHT AIRCRAFT TRAINING AREA A (EAST),1.406,103.787,thence along the boundary of Sembawang ATZ ,"4 500ft ALT / GND
3 500ft ALT / 2 000ft ALT#
Maximum
Usable ALT:
4 000ft","To enable aircraft on ILS for landing into WSSL to carry out missed approach safely and efficiently, Light Aircraft Training Area A would be temporarily segregated into Area A (East) and Area A (West).

When instructed, all aircraft operating in Light Aircraft Training Area A are to vacate the Area A (East) and operate only in Area A (West) or operate in the other Light Aircraft Training Areas B or C.

Whenever there is an aircraft on ILS for landing into WSSL, Light Aircraft Training Area A (East) will temporarily be designated as Class D airspace to facilitate the nominal path for the missed approach aircraft."
9,LIGHT AIRCRAFT TRAINING AREA A (EAST),1.391,103.823,,"4 500ft ALT / GND
3 500ft ALT / 2 000ft ALT#
Maximum
Usable ALT:
4 000ft","To enable aircraft on ILS for landing into WSSL to carry out missed approach safely and efficiently, Light Aircraft Training Area A would be temporarily segregated into Area A (East) and Area A (West).

When instructed, all aircraft operating in Light Aircraft Training Area A are to vacate the Area A (East) and operate only in Area A (West) or operate in the other Light Aircraft Training Areas B or C.

Whenever there is an aircraft on ILS for landing into WSSL, Light Aircraft Training Area A (East) will temporarily be designated as Class D airspace to facilitate the nominal path for the missed approach aircraft."
10,LIGHT AIRCRAFT TRAINING AREA A (EAST),1.376,103.838,,"4 500ft ALT / GND
3 500ft ALT / 2 000ft ALT#
Maximum
Usable ALT:
4 000ft","To enable aircraft on ILS for landing into WSSL to carry out missed approach safely and efficiently, Light Aircraft Training Area A would be temporarily segregated into Area A (East) and Area A (West).

When instructed, all aircraft operating in Light Aircraft Training Area A are to vacate the Area A (East) and operate only in Area A (West) or operate in the other Light Aircraft Training Areas B or C.

Whenever there is an aircraft on ILS for landing into WSSL, Light Aircraft Training Area A (East) will temporarily be designated as Class D airspace to facilitate the nominal path for the missed approach aircraft."
